2026-01-10 20:44:31 | INFO | Presentation Layer | b'\x10\x14\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-10 20:44:31 | INFO | Presentation Layer | b'\x10\x13\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-10 20:44:32 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:44:32 | INFO | Presentation Layer | b'\x10\x13\x1a\x12\n\x10send health data'
2026-01-10 20:44:33 | INFO | Presentation Layer | b'\x10\x14\x1a\x17\n\x15connected uplink mode'
2026-01-10 20:44:34 | INFO | Presentation Layer | b'\x10\x14\x1a\x19\n\x17connected downlink mode'
2026-01-10 20:44:35 | INFO | Presentation Layer | b'\x10\x14\x1a\x1e\n\x1cconnectionless downlink mode'
2026-01-10 20:44:36 | INFO | Presentation Layer | b'\x10\x14\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-10 20:44:36 | INFO | Presentation Layer | b'\x10\x13\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-10 20:44:37 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:44:38 | INFO | Presentation Layer | b'\x10\x14\x1a\x0c\n\nexit orbit'
2026-01-10 20:44:38 | INFO | Presentation Layer | b'\x10\x13\x1a\x0c\n\nexit orbit'
2026-01-10 20:45:29 | INFO | Presentation Layer | b'\x10\x14\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-10 20:45:29 | INFO | Presentation Layer | b'\x10\x13\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-10 20:45:30 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:45:30 | INFO | Presentation Layer | b'\x10\x13\x1a\x12\n\x10send health data'
2026-01-10 20:45:31 | INFO | Presentation Layer | b'\x10\x14\x1a\x17\n\x15connected uplink mode'
2026-01-10 20:45:32 | INFO | Presentation Layer | b'\x10\x14\x1a\x19\n\x17connected downlink mode'
2026-01-10 20:45:33 | INFO | Presentation Layer | b'\x10\x14\x1a\x1e\n\x1cconnectionless downlink mode'
2026-01-10 20:45:34 | INFO | Presentation Layer | b'\x10\x13\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-10 20:45:34 | INFO | Presentation Layer | b'\x10\x14\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-10 20:45:35 | INFO | Presentation Layer | b'\x10\x13\x1a\x12\n\x10send health data'
2026-01-10 20:45:35 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:45:36 | INFO | Presentation Layer | b'\x10\x13\x1a\x0c\n\nexit orbit'
2026-01-10 20:46:40 | INFO | Presentation Layer | b'\x10\x13\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-10 20:46:40 | INFO | Presentation Layer | b'\x10\x14\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-10 20:46:41 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:46:41 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:46:42 | INFO | Presentation Layer | b'\x10\x14\x1a\x17\n\x15connected uplink mode'
2026-01-10 20:46:43 | INFO | Presentation Layer | b'\x10\x14\x1a\x19\n\x17connected downlink mode'
2026-01-10 20:46:44 | INFO | Presentation Layer | b'\x10\x14\x1a\x1e\n\x1cconnectionless downlink mode'
2026-01-10 20:46:45 | INFO | Presentation Layer | b'\x10\x14\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-10 20:46:46 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:46:46 | INFO | Presentation Layer | b'\x10\x14\x1a\x12\n\x10send health data'
2026-01-10 20:46:47 | INFO | Presentation Layer | b'\x10\x14\x1a\x0c\n\nexit orbit'
2026-01-10 20:46:47 | INFO | Presentation Layer | b'\x10\x14\x1a\x0c\n\nexit orbit'
2026-01-11 14:37:49 | INFO | Presentation Layer | b'\x10\x14\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-11 14:37:50 | INFO | Presentation Layer | b'\x10\x15\x1a\x12\n\x10send health data'
2026-01-11 14:37:50 | INFO | Presentation Layer | b'\x10\x15\x1a\x12\n\x10send health data'
2026-01-11 14:37:51 | INFO | Presentation Layer | b'\x10\x15\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-11 14:37:52 | INFO | Presentation Layer | b'\x10\x15\x1a\x12\n\x10send health data'
2026-01-11 14:37:53 | INFO | Presentation Layer | b'\x10\x15\x1a\x0c\n\nexit orbit'
2026-01-11 14:37:54 | INFO | Presentation Layer | b'\x10\x15\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-11 14:37:55 | INFO | Presentation Layer | b'\x10\x15\x1a\x12\n\x10send health data'
2026-01-11 14:37:56 | INFO | Presentation Layer | b'\x10\x15\x1a\x0c\n\nexit orbit'
